fecha,entidad,fondo,nemotecnico,moneda,valor_cop
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIAS PORVENIR CONSERVADOR,BGLT30150645,USD,6860934285.75
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIAS PORVENIR CONSERVADOR,BGLT30071154,USD,3962529297.9
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIAS PORVENIR CONSERVADOR,BGLT30071154,USD,3962529297.9
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIAS PORVENIR CONSERVADOR,BGLT30260244,USD,6160663666.8
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIAS PORVENIR RETIRO PROGRAMADO,BGLT11020234,USD,19917805455.0
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIAS PORVENIR CONSERVADOR,BGLT30150645,USD,9605308000.05
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIAS PORVENIR CONSERVADOR,BGLT30150645,USD,5488747428.6
2026-01,Colfondos,FONDO DE PENSIONES COLFONDOS CONSERVADOR,BGLT30150645,USD,3018811085.73
2026-01,Porvenir,FONDO DE CESANTIAS,BGLT11200433,USD,4036966429.5
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIAS PORVENIR CONSERVADOR,BGLT30150645,USD,5488747428.6
2026-01,Porvenir,FONDO DE CESANTIAS,BGLT30150549,USD,2758211386.2
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIAS PORVENIR CONSERVADOR,BGLT12071136,USD,11765581470.9
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIAS PORVENIR CONSERVADOR,BGLT11200433,USD,12110899288.5
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIAS PORVENIR CONSERVADOR,BGLT30071154,USD,11887587893.7
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIAS PORVENIR CONSERVADOR,BGLT12071136,USD,3921860490.3
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIAS PORVENIR CONSERVADOR,BGLT30071154,USD,7925058595.8
2026-01,Porvenir,FONDO DE CESANTIAS,BGLT10250435,USD,4136032414.8
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIAS PORVENIR CONSERVADOR,BGLT11020234,USD,11950683273.0
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIAS PORVENIR CONSERVADOR,BGLT10250435,USD,12408097244.4
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIAS PORVENIR CONSERVADOR,BGLT30071154,USD,19812646489.5
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIAS PORVENIR CONSERVADOR,BGLT11200433,USD,4036966429.5
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIAS PORVENIR CONSERVADOR,BGLT30150549,USD,8274634158.6
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIAS PORVENIR CONSERVADOR,BGLT30071154,USD,3962529297.9
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIAS PORVENIR CONSERVADOR,BGLT32180141,USD,3267525803.4
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIAS PORVENIR CONSERVADOR,BGLT31180937,USD,30823726147.2
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIAS PORVENIR CONSERVADOR,BGLT12071136,USD,3921860490.3
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIAS PORVENIR RETIRO PROGRAMADO,BGLT30071154,USD,3962529297.9
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIAS PORVENIR CONSERVADOR,BGLT30071154,USD,3962529297.9
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIAS PORVENIR CONSERVADOR,BGLT12141135,USD,3998646722.7
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIAS PORVENIR RETIRO PROGRAMADO,BGLT12071136,USD,19609302451.5
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIAS PORVENIR CONSERVADOR,BGLT32180141,USD,3267525803.4
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIAS PORVENIR CONSERVADOR,BGLT03190928,EUR,44121942684.68
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIAS PORVENIR RETIRO PROGRAMADO,BGLT12141135,USD,3998646722.7
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIAS PORVENIR CONSERVADOR,BGLT30150645,USD,19210616000.1
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIAS PORVENIR CONSERVADOR,BGLT30150549,USD,5516422772.4
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIAS PORVENIR CONSERVADOR,BGLT30071154,USD,7925058595.8
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIAS PORVENIR CONSERVADOR,BGLT30150549,USD,2758211386.2
2026-01,Colfondos,FONDO DE PENSIONES COLFONDOS CONSERVADOR,BGLT30150645,USD,4939872685.74
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIAS PORVENIR CONSERVADOR,BGLT12071136,USD,39218604903.0
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIAS PORVENIR CONSERVADOR,BGLT30150549,USD,8274634158.6
2026-01,Porvenir,FONDO DE CESANTIAS,BGLT12141135,USD,3998646722.7
2026-01,Porvenir,FONDO DE CESANTIAS,BGLT30071154,USD,1981264648.95
2026-01,Colfondos,FONDO DE PENSIONES MODERADO,BGLT30150645,USD,3430467142.88
2026-01,Porvenir,FONDO DE CESANTIAS,BGLT30071154,USD,11887587893.7
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIAS PORVENIR RETIRO PROGRAMADO,BGLT32180141,USD,3267525803.4
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIAS PORVENIR RETIRO PROGRAMADO,BGLT12071136,USD,1960930245.15
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIAS PORVENIR RETIRO PROGRAMADO,BGLT12071136,USD,3921860490.3
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIAS PORVENIR RETIRO PROGRAMADO,BGLT30071154,USD,9906323244.75
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIAS PORVENIR RETIRO PROGRAMADO,BGLT03190928,EUR,57358525490.09
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIAS PORVENIR RETIRO PROGRAMADO,BGLT05250430,USD,7865303344.2
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIAS PORVENIR CONSERVADOR,BGLT32180141,USD,6535051606.8
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIAS PORVENIR CONSERVADOR,BGLT30071154,USD,3962529297.9
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIAS PORVENIR CONSERVADOR,BGLT30150549,USD,5516422772.4
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIAS PORVENIR CONSERVADOR,BGLT32180141,USD,3267525803.4
2026-01,Porvenir,FONDO DE CESANTIAS,BGLT31180937,USD,7705931536.8
2026-01,Porvenir,FONDO DE CESANTIAS,BGLT12071136,USD,3921860490.3
2026-01,Porvenir,FONDO DE CESANTIAS,BGLT32180141,USD,6535051606.8
2026-01,Colfondos,FONDO DE PENSIONES MODERADO,BGLT30150645,USD,26071550285.85
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIAS PORVENIR RETIRO PROGRAMADO,BGLT32180141,USD,16337629017.0
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIAS PORVENIR RETIRO PROGRAMADO,BGLT30071154,USD,3962529297.9
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIAS PORVENIR RETIRO PROGRAMADO,BGLT11200433,USD,4036966429.5
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIAS PORVENIR RETIRO PROGRAMADO,BGLT30150549,USD,5516422772.4
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIAS PORVENIR RETIRO PROGRAMADO,BGLT30071154,USD,3962529297.9
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIAS PORVENIR RETIRO PROGRAMADO,BGLT32180141,USD,3267525803.4
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIAS PORVENIR RETIRO PROGRAMADO,BGLT10250435,USD,8272064829.6
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIAS PORVENIR RETIRO PROGRAMADO,BGLT30071154,USD,3962529297.9
